<eResourceEntry  timestamp='1390997543620' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390997544818' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testAccount'/>
<eObjectEntry  timestamp='1390997546008' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997546443' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testSetInterestRate'/>
<eObjectEntry  timestamp='1390997547703' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390997548333' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testDeposit'/>
<eObjectEntry  timestamp='1390997549719' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997617725' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testDepositNegativeAmount'/>
<eObjectEntry  timestamp='1390997619002' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997619938' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testWithdraw'/>
<eObjectEntry  timestamp='1390997621449' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997759842' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testDeposit'/>
<eObjectEntry  timestamp='1390997761531' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997768720' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testDeposit'/>
<eObjectEntry  timestamp='1390997769856' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997772271' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testDepositNegativeAmount'/>
<eObjectEntry  timestamp='1390997772936' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997774120' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testWithdraw'/>
<eObjectEntry  timestamp='1390997775075' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997776696' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390997777391' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997779015' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testAccount'/>
<eObjectEntry  timestamp='1390997779710' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997847345' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testAccount'/>
<eObjectEntry  timestamp='1390997848614' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390997850702' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testDeposit'/>
<eObjectEntry  timestamp='1390997851450' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390997852387' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testDepositNegativeAmount'/>
<eObjectEntry  timestamp='1390997853487' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390997855299' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testWithdraw'/>
<eObjectEntry  timestamp='1390997856093' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390997857338' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390997858084' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997906697' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390997907622' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997976286' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390997977456' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390997983173' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390997984148' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390998078396' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390998079287' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390998216697' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390998217789' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390998226499' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390998226503' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390998226507' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390998226511' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390998226515' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390998226519' resUri='platform:/resource/TDT4100/src/encapsulation/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
