<eResourceEntry  timestamp='1390491633734' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390493585860' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390494075163' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390494078734' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPop'/>
<eObjectEntry  timestamp='1390494081318' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPeek'/>
<eObjectEntry  timestamp='1390494082747' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testGetSize'/>
<eObjectEntry  timestamp='1390494085091' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testGetRandomString'/>
<eObjectEntry  timestamp='1390494108295' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390494109784' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPop'/>
<eObjectEntry  timestamp='1390494111773' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390494186318' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390495792961' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390495794632' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495795753' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPop'/>
<eObjectEntry  timestamp='1390495796694' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495798915' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testGetRandomString'/>
<eObjectEntry  timestamp='1390495799590' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495800722' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testGetSize'/>
<eObjectEntry  timestamp='1390495801602' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390495802177' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPeek'/>
<eObjectEntry  timestamp='1390495803656' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495803904' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPeek'/>
<eObjectEntry  timestamp='1390495804659' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495810822' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390495811540' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495955022' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390495956792' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495957636' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPop'/>
<eObjectEntry  timestamp='1390495958822' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390495966593' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testGetSize'/>
<eObjectEntry  timestamp='1390495967280' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390495968374' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testGetRandomString'/>
